CountryCode,SeriesCode,Year,Description
LSO,DT.INT.DLXF.CD,YR2007,A large interest payment was made during 2007 to a creditor country to settle a long standing claim.
MEX,DT.DOD.DECT.CD,YR2009,Adjustments in the stock of debt in 2009 are mainly due to repurchased of $23 billions. PIDIREGAS bonds in 2007 and 2008 were not accounted by the Government until 2009.
SRB,DT.DOD.DECT.CD,YR2006,Beginning 2006 the DRS data for Serbia exclude Montenegro.
PNG,BX.KLT.DINV.CD.DT,YR2006,Country data.
PNG,BX.KLT.DINV.CD.DT,YR2007,Country data.
PNG,BX.KLT.DINV.CD.DT,YR2008,Country data.
PNG,BX.KLT.DINV.CD.DT,YR2009,Country data.
SDN,BX.KLT.DINV.CD.DT,YR2009,Country data.
SDN,BX.PEF.TOTL.CD.DT,YR2009,Country data.
MYS,BX.KLT.DINV.CD.DT,YR2009,Country data.
SWZ,BX.KLT.DINV.CD.DT,YR2008,Country data.
SWZ,BX.KLT.DINV.CD.DT,YR2009,Country data.
SWZ,BX.PEF.TOTL.CD.DT,YR2009,Country data.
VUT,BX.KLT.DINV.CD.DT,YR2008,Country data.
VUT,BX.KLT.DINV.CD.DT,YR2009,Country data.
KSV,BX.KLT.DINV.CD.DT,YR2008,Country data.
KSV,BX.KLT.DINV.CD.DT,YR2009,Country data.
MDG,BX.KLT.DINV.CD.DT,YR2008,Country data.
MDG,BX.KLT.DINV.CD.DT,YR2009,Country data.
MDV,BX.KLT.DINV.CD.DT,YR2009,Country data.
MNE,BX.KLT.DINV.CD.DT,YR2007,Country data.
MNE,BX.KLT.DINV.CD.DT,YR2008,Country data.
MNE,BX.KLT.DINV.CD.DT,YR2009,Country data.
MNE,BX.PEF.TOTL.CD.DT,YR2007,Country data.
MNE,BX.PEF.TOTL.CD.DT,YR2008,Country data.
MNE,BX.PEF.TOTL.CD.DT,YR2009,Country data.
MNG,BX.KLT.DINV.CD.DT,YR2009,Country data.
GMB,BX.KLT.DINV.CD.DT,YR2009,Country data.
HND,BX.KLT.DINV.CD.DT,YR2009,Country data.
IND,BX.KLT.DINV.CD.DT,YR2009,Country data.
IND,BX.PEF.TOTL.CD.DT,YR2009,Country data.
LAO,BX.KLT.DINV.CD.DT,YR2008,Country data.
LAO,BX.KLT.DINV.CD.DT,YR2009,Country data.
BWA,BX.PEF.TOTL.CD.DT,YR2009,Country data.
BOL,BX.KLT.DINV.CD.DT,YR2009,Country data.
ZMB,BX.KLT.DINV.CD.DT,YR2009,Country data.
YEM,BX.KLT.DINV.CD.DT,YR1970,"Data are for People's Democratic Republic of Yemen. Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
YEM,BX.KLT.DINV.CD.DT,YR1971,"Data are for People's Democratic Republic of Yemen. Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
YEM,BX.KLT.DINV.CD.DT,YR1972,"Data are for People's Democratic Republic of Yemen. Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
YEM,BX.KLT.DINV.CD.DT,YR1973,"Data are for People's Democratic Republic of Yemen. Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
YEM,BX.KLT.DINV.CD.DT,YR1974,"Data are for People's Democratic Republic of Yemen. Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
YEM,BX.KLT.DINV.CD.DT,YR1975,"Data are for People's Democratic Republic of Yemen. Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
YEM,BX.KLT.DINV.CD.DT,YR1976,"Data are for People's Democratic Republic of Yemen. Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
YEM,BX.KLT.DINV.CD.DT,YR1977,"Data are for People's Democratic Republic of Yemen. Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
YEM,BX.KLT.DINV.CD.DT,YR1978,"Data are for People's Democratic Republic of Yemen. Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
YEM,BX.KLT.DINV.CD.DT,YR1979,"Data are for People's Democratic Republic of Yemen. Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
YEM,BX.KLT.DINV.CD.DT,YR1980,"Data are for People's Democratic Republic of Yemen. Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
YEM,BX.KLT.DINV.CD.DT,YR1981,"Data are for People's Democratic Republic of Yemen. Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
YEM,BX.KLT.DINV.CD.DT,YR1982,"Data are for People's Democratic Republic of Yemen. Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
YEM,BX.KLT.DINV.CD.DT,YR1983,"Data are for People's Democratic Republic of Yemen. Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
YEM,BX.KLT.DINV.CD.DT,YR1984,"Data are for People's Democratic Republic of Yemen. Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
YEM,BX.KLT.DINV.CD.DT,YR1985,"Data are for People's Democratic Republic of Yemen. Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
YEM,BX.KLT.DINV.CD.DT,YR1986,"Data are for People's Democratic Republic of Yemen. Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
YEM,BX.KLT.DINV.CD.DT,YR1987,"Data are for People's Democratic Republic of Yemen. Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
YEM,BX.KLT.DINV.CD.DT,YR1988,"Data are for People's Democratic Republic of Yemen. Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
YEM,BX.KLT.DINV.CD.DT,YR1989,"Data are for People's Democratic Republic of Yemen. Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
TZA,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
TCD,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
ZAR,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
STP,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
TGO,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
UGA,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
MWI,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
NIC,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
NER,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
MRT,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
MOZ,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
RWA,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
SEN,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
SLE,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
CAF,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
CIV,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
CMR,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
COM,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
COG,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
ETH,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
GHA,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
GIN,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
BOL,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
BEN,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
BFA,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
AFG,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
BDI,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
LAO,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
GUY,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
HND,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
HTI,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
GMB,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
GNB,DT.DOD.PVLX.CD,YR2012,Data are from debt sustainability analyses for low-income countries. Present value estimates for these countries are for public and publicly guaranteed debt only.
