Country Code,Short Name,Region
AFG,Afghanistan,South Asia
ALB,Albania,Europe & Central Asia
DZA,Algeria,Middle East & North Africa
AGO,Angola,Sub-Saharan Africa
ARG,Argentina,Latin America & Caribbean
ARM,Armenia,Europe & Central Asia
AZE,Azerbaijan,Europe & Central Asia
BGD,Bangladesh,South Asia
BLR,Belarus,Europe & Central Asia
BLZ,Belize,Latin America & Caribbean
BEN,Benin,Sub-Saharan Africa
BTN,Bhutan,South Asia
BOL,Bolivia,Latin America & Caribbean
BIH,Bosnia and Herzegovina,Europe & Central Asia
BWA,Botswana,Sub-Saharan Africa
BRA,Brazil,Latin America & Caribbean
BGR,Bulgaria,Europe & Central Asia
BFA,Burkina Faso,Sub-Saharan Africa
BDI,Burundi,Sub-Saharan Africa
CPV,Cabo Verde,Sub-Saharan Africa
KHM,Cambodia,East Asia & Pacific
CMR,Cameroon,Sub-Saharan Africa
CAF,Central African Republic,Sub-Saharan Africa
TCD,Chad,Sub-Saharan Africa
CHN,China,East Asia & Pacific
COL,Colombia,Latin America & Caribbean
COM,Comoros,Sub-Saharan Africa
COG,Congo,Sub-Saharan Africa
CRI,Costa Rica,Latin America & Caribbean
CIV,C?te d'Ivoire,Sub-Saharan Africa
ZAR,Dem. Rep. Congo,Sub-Saharan Africa
DJI,Djibouti,Middle East & North Africa
DMA,Dominica,Latin America & Caribbean
DOM,Dominican Republic,Latin America & Caribbean
EAP,East Asia & Pacific (developing only),
ECU,Ecuador,Latin America & Caribbean
EGY,Egypt,Middle East & North Africa
SLV,El Salvador,Latin America & Caribbean
ERI,Eritrea,Sub-Saharan Africa
ETH,Ethiopia,Sub-Saharan Africa
ECA,Europe & Central Asia (developing only),
FJI,Fiji,East Asia & Pacific
GAB,Gabon,Sub-Saharan Africa
GEO,Georgia,Europe & Central Asia
GHA,Ghana,Sub-Saharan Africa
GRD,Grenada,Latin America & Caribbean
GTM,Guatemala,Latin America & Caribbean
GIN,Guinea,Sub-Saharan Africa
GNB,Guinea-Bissau,Sub-Saharan Africa
GUY,Guyana,Latin America & Caribbean
HTI,Haiti,Latin America & Caribbean
HND,Honduras,Latin America & Caribbean
HUN,Hungary,Europe & Central Asia
IND,India,South Asia
IDN,Indonesia,East Asia & Pacific
IRN,Iran,Middle East & North Africa
JAM,Jamaica,Latin America & Caribbean
JOR,Jordan,Middle East & North Africa
KAZ,Kazakhstan,Europe & Central Asia
KEN,Kenya,Sub-Saharan Africa
KSV,Kosovo,Europe & Central Asia
KGZ,Kyrgyz Republic,Europe & Central Asia
LAO,Lao PDR,East Asia & Pacific
LAC,Latin America & Caribbean (developing only),
LBN,Lebanon,Middle East & North Africa
LSO,Lesotho,Sub-Saharan Africa
LBR,Liberia,Sub-Saharan Africa
LMY,Low & middle income,
LIC,Low income,
LMC,Lower middle income,
MKD,Macedonia,Europe & Central Asia
MDG,Madagascar,Sub-Saharan Africa
MWI,Malawi,Sub-Saharan Africa
MYS,Malaysia,East Asia & Pacific
MDV,Maldives,South Asia
MLI,Mali,Sub-Saharan Africa
MRT,Mauritania,Sub-Saharan Africa
MUS,Mauritius,Sub-Saharan Africa
MEX,Mexico,Latin America & Caribbean
MNA,Middle East & North Africa (developing only),
MIC,Middle income,
MDA,Moldova,Europe & Central Asia
MNG,Mongolia,East Asia & Pacific
MNE,Montenegro,Europe & Central Asia
MAR,Morocco,Middle East & North Africa
MOZ,Mozambique,Sub-Saharan Africa
MMR,Myanmar,East Asia & Pacific
NPL,Nepal,South Asia
NIC,Nicaragua,Latin America & Caribbean
NER,Niger,Sub-Saharan Africa
NGA,Nigeria,Sub-Saharan Africa
PAK,Pakistan,South Asia
PAN,Panama,Latin America & Caribbean
PNG,Papua New Guinea,East Asia & Pacific
PRY,Paraguay,Latin America & Caribbean
PER,Peru,Latin America & Caribbean
PHL,Philippines,East Asia & Pacific
ROM,Romania,Europe & Central Asia
RWA,Rwanda,Sub-Saharan Africa
WSM,Samoa,East Asia & Pacific
STP,S?o Tom? and Principe,Sub-Saharan Africa
SEN,Senegal,Sub-Saharan Africa
SRB,Serbia,Europe & Central Asia
SYC,Seychelles,Sub-Saharan Africa
SLE,Sierra Leone,Sub-Saharan Africa
SLB,Solomon Islands,East Asia & Pacific
SOM,Somalia,Sub-Saharan Africa
ZAF,South Africa,Sub-Saharan Africa
SAS,South Asia,
LKA,Sri Lanka,South Asia
LCA,St. Lucia,Latin America & Caribbean
VCT,St. Vincent and the Grenadines,Latin America & Caribbean
SSA,Sub-Saharan Africa (developing only),
SDN,Sudan,Sub-Saharan Africa
SWZ,Swaziland,Sub-Saharan Africa
SYR,Syrian Arab Republic,Middle East & North Africa
TJK,Tajikistan,Europe & Central Asia
TZA,Tanzania,Sub-Saharan Africa
THA,Thailand,East Asia & Pacific
GMB,The Gambia,Sub-Saharan Africa
TGO,Togo,Sub-Saharan Africa
TON,Tonga,East Asia & Pacific
TUN,Tunisia,Middle East & North Africa
TUR,Turkey,Europe & Central Asia
TKM,Turkmenistan,Europe & Central Asia
UGA,Uganda,Sub-Saharan Africa
UKR,Ukraine,Europe & Central Asia
UMC,Upper middle income,
UZB,Uzbekistan,Europe & Central Asia
VUT,Vanuatu,East Asia & Pacific
VEN,Venezuela,Latin America & Caribbean
VNM,Vietnam,East Asia & Pacific
YEM,Yemen,Middle East & North Africa
ZMB,Zambia,Sub-Saharan Africa
ZWE,Zimbabwe,Sub-Saharan Africa
